Sales_Rep,Territory_Code,Territory_Name,Latitude,Longitude,Outside_Belagavi
Bheem,A,Azam Nagar-Kangrali,15.882,74.513,False
Bheem,C,Sadashiv Nagar,15.865,74.505,False
Bheem,E,Hindalga,15.83,74.47,False
Govind,J,R.C. Nagar,15.842,74.515,False
Govind,O,Mache-Peeranwadi,15.83,74.46,False
Govind,P,Udyambag,15.8,74.49,False
Govind,Q,Majagaon,15.95,74.55,False
Govind,R,Angol-Bhagya Nagar,15.815,74.505,False
Hari,F,Camp-Nanawadi,15.848,74.497,False
Hari,G,Khade Bazaar,15.853,74.503,False
Hari,L,Kapleshwar,15.848,74.502,False
Hari,M,Shahpur,15.843,74.5176,False
Ibrahim,K,Tilakwadi,15.8377,74.5009,False
Ibrahim,R,Angol-Bhagya Nagar,15.815,74.505,False
Ibrahim,T,Vadgaon,15.8,74.51,False
Ibrahim,S,Hindwadi,15.85,74.495,False
Mahesh,N,Navge,15.9,74.56,False
Mahesh,B,Sulga,15.871,74.535,False
Mahesh,I,Mandoli,15.84,74.54,False
Praveen,,Outside Belagavi district,,,True
Salim,A,Azam Nagar-Kangrali,15.882,74.513,False
Salim,D,Nehru Nagar,15.86,74.507,False
Salim,H,Gandhi Nagar,15.845,74.51,False
"One row per territory a rep is proposed to cover. Reconstructed from Exhibit 14's 'Territories Allotted under Revised Plan' column; territory counts per rep match Exhibit 11 exactly (Bheem 3, Govind 5, Hari 4, Ibrahim 4, Mahesh 3, Praveen 0, Salim 3).",,,,,
